Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Resources.java,0,1,0,366,506,506,366,366.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java,0,2,0,96,125,123,96,48.0,2,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Roles.java,0,2,0,73,99,96,77,38.5,1,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java,0,2,0,50,63,61,50,25.0,1,763.5,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Schema.java,0,2,0,591,858,857,591,295.5,2,777.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java,0,4,0,237,351,326,237,59.25,4,390.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java,0,2,0,88,120,117,88,44.0,2,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java,0,2,0,90,116,114,90,45.0,1,763.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java,0,1,0,181,235,235,181,181.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Tasks.java,0,5,0,160,242,225,160,32.0,4,313.6,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Todo.java,0,1,0,357,483,483,357,357.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java,0,3,0,166,236,226,166,55.333333333333336,3,519.3333333333334,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java,0,2,0,112,149,144,112,56.0,1,766.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java,0,1,0,52,62,62,52,52.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Users.java,0,3,0,120,160,157,120,40.0,3,518.6666666666666,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java,0,1,0,90,114,114,90,90.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java,0,2,0,38,47,46,38,19.0,2,775.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java,0,1,0,72,82,82,72,72.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java,0,3,0,208,330,299,208,69.33333333333333,2,512.6666666666666,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java,0,2,0,137,178,177,137,68.5,2,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java,0,1,0,32,37,37,32,32.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java,0,3,0,182,257,247,182,60.666666666666664,3,511.6666666666667,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java,0,1,0,247,334,334,247,247.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java,0,3,0,199,301,282,199,66.33333333333333,3,516.6666666666666,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java,0,4,0,187,277,263,187,46.75,4,386.75,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java,0,4,0,236,339,322,248,62.0,3,391.75,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java,0,2,0,187,253,244,187,93.5,2,763.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java,0,7,0,415,639,583,463,66.14285714285714,4,227.28571428571428,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java,0,1,0,152,195,195,152,152.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java,0,2,0,58,100,85,58,29.0,2,762.5,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java,0,5,0,436,656,606,436,87.2,3,307.8,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java,0,2,0,87,112,111,87,43.5,2,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java,0,1,0,149,194,194,149,149.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java,0,2,0,108,188,163,108,54.0,1,762.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java,0,2,0,74,106,101,78,39.0,2,774.5,true
